layer,category,ground_truth_prob,top_1_prob
12,landmarks,3.527577381821449e-07,0.2301693446934223
12,movies,2.532006965044974e-06,0.30049417728615785
12,painters,8.989566631169486e-08,0.30200112105480253
13,dances,2.6574363743391005e-06,0.40573511677591695
13,indigenous_peoples,2.2863469894915484e-07,0.3692198419493848
13,landmarks,9.006670326217048e-08,0.30801758443315824
13,movies,9.271801082914855e-07,0.2701114725283126
13,painters,6.578335609475866e-08,0.39078753042433945
14,dances,1.5814203282188916e-06,0.3965038333250129
14,indigenous_peoples,1.5467579965461765e-07,0.3380707984083685
14,landmarks,4.904734867833271e-07,0.28391811177134507
14,movies,1.347379804594223e-06,0.3679816571169907
14,painters,1.5517825174639543e-08,0.3937803477581058
15,dances,1.0012039771622622e-05,0.29459818622664263
15,indigenous_peoples,7.996124076950399e-07,0.29816448139347906
15,landmarks,7.324667417041297e-08,0.1995588866372903
15,movies,6.750382503103029e-07,0.23746601845493018
15,painters,6.264935862746298e-08,0.28040918920721325
16,dances,1.9158050544408257e-05,0.3117689734081859
16,indigenous_peoples,1.7854244405113104e-06,0.2827802606826198
16,landmarks,8.989289436434067e-08,0.20713942274451252
16,movies,5.431640740966341e-07,0.2483136228372141
16,painters,9.69149154261828e-08,0.2597709354013204
17,dances,9.85421645395919e-06,0.2832304474128329
17,indigenous_peoples,6.865922524917026e-07,0.26739157209622444
17,landmarks,1.3901983061577935e-07,0.18277355755368865
17,movies,6.743435546442617e-07,0.21206032868820363
17,painters,6.053713131575528e-08,0.22223112931741132
18,dances,5.739904514570279e-06,0.3340344986999812
18,indigenous_peoples,3.994892092907039e-07,0.324779432010034
18,landmarks,6.282022160242207e-08,0.24664355590939518
18,movies,6.845068990704069e-07,0.24384370169688743
18,painters,6.318792318351005e-08,0.3428379895963839
19,dances,4.582940019696172e-06,0.4881855304474416
19,indigenous_peoples,1.813820425486282e-07,0.5102681692304283
19,landmarks,5.6504293085198516e-08,0.3803139256934325
19,movies,2.7037489847490267e-07,0.43895524601960917
19,painters,1.858494311868638e-08,0.43005570077470373
20,dances,9.644387069483729e-07,0.5191970593903376
20,indigenous_peoples,2.272849857187761e-06,0.46378541712103216
20,landmarks,2.6292172172759365e-07,0.3414794892072678
20,movies,5.214410798959844e-07,0.4296357445802885
20,painters,2.4807351896900213e-08,0.3453958851418325
21,dances,1.1587994506904766e-06,0.3991882706303959
21,indigenous_peoples,8.688675018961953e-06,0.43419463373720646
21,landmarks,3.63230021860339e-07,0.3655039588610331
21,movies,6.287896902483062e-07,0.3680314595244594
21,painters,2.632042084382042e-08,0.378249534538814
22,dances,1.548224161875121e-06,0.29987540954480996
22,indigenous_peoples,1.8996675411294236e-06,0.2729839987346324
22,landmarks,3.616681711726688e-07,0.29136439698437844
22,movies,7.340809858461945e-07,0.3595317122862511
22,painters,1.1674698777957332e-07,0.3947737930076463
23,dances,7.758388865613503e-06,0.29478469507201854
23,indigenous_peoples,9.053796623839092e-06,0.27752402855147573
23,landmarks,1.4955206184330549e-06,0.26674977205693723
23,movies,1.4812104879188168e-06,0.24887907270764564
23,painters,5.348109380037031e-07,0.2977019197174481
24,dances,3.637688771766588e-05,0.22292323143261927
24,indigenous_peoples,2.196214085660461e-05,0.24032076216977216
24,landmarks,3.040641800922117e-06,0.28175598010420794
24,movies,4.075607003522076e-06,0.19092367549148415
24,painters,3.071437197624657e-06,0.2632471716164478
25,dances,8.422977199939092e-05,0.15931421445439686
25,indigenous_peoples,8.35472273390721e-05,0.2086440769248995
25,landmarks,7.18126705455101e-06,0.2938775935520728
25,movies,1.4229265867918105e-05,0.14722270443651475
