layer,category,ground_truth_prob,top_1_prob
11,movies,6.433204025896871e-06,0.021151490629525784
11,painters,4.643099601940394e-07,0.01885012076568918
12,dances,1.5446626254599989e-06,0.019723155960926487
12,indigenous_peoples,2.9112005650818615e-06,0.022071174538597933
12,landmarks,3.7005645948789495e-05,0.021959124070902617
12,movies,3.155457286482839e-06,0.019207719041360972
12,painters,5.547752728318756e-07,0.01628111567281714
13,dances,1.2933379310611901e-06,0.013299937339742498
13,indigenous_peoples,3.966809647449542e-06,0.011108129040402282
13,landmarks,1.4209675481660739e-05,0.02157802490207051
13,movies,4.211030178797455e-06,0.019277017952432588
13,painters,1.0840004943192736e-06,0.015702505862074192
14,dances,8.970304151290559e-07,0.012809998376051974
14,indigenous_peoples,2.8160396931408494e-06,0.012893356174102073
14,landmarks,2.7886823935333864e-05,0.019140442771216182
14,movies,5.513834549679115e-06,0.01599486942700653
14,painters,9.665974036414987e-07,0.01671548003131251
15,dances,1.8841819339730237e-06,0.017133324811963883
15,indigenous_peoples,2.2537817140535946e-06,0.0164628345920736
15,landmarks,5.077969785081223e-05,0.020894968913247148
15,movies,5.109656101489567e-06,0.015422602299331952
15,painters,2.4992616521097536e-06,0.021426325796970257
16,dances,1.1906304859713492e-06,0.013597266647316798
16,indigenous_peoples,4.4361601226473246e-06,0.018842647614856687
16,landmarks,6.802735385292315e-05,0.019995005552967345
16,movies,1.0774419704505048e-05,0.015289270194228115
16,painters,2.0861946870961593e-06,0.01947987661696966
17,dances,1.4943238075150527e-06,0.0257737646689233
17,indigenous_peoples,4.837023272111122e-06,0.027899912759212022
17,landmarks,4.42983989055674e-05,0.02113001001998777
17,movies,1.583278776865612e-05,0.023061770100876174
17,painters,3.844103949189405e-06,0.01826128538232292
18,dances,1.736541651934424e-06,0.024425472062000055
18,indigenous_peoples,4.384941837830903e-06,0.06568603305113979
18,landmarks,1.521316620909309e-05,0.018905870663002082
18,movies,1.4451027836054213e-05,0.014928284902893644
18,painters,2.6335579378208455e-06,0.028015658009930337
19,dances,1.780745019403193e-06,0.0317287510514016
19,indigenous_peoples,6.528804905009551e-06,0.06489112464197233
19,landmarks,2.0320740205663028e-05,0.018073903986563233
19,movies,6.009978146286018e-05,0.018578962259685815
19,painters,2.1651559825031086e-06,0.01784765504167544
20,dances,2.0576870298096077e-06,0.025414291354220155
20,indigenous_peoples,4.5203831480441374e-06,0.055081633128354214
20,landmarks,3.54442903834207e-05,0.023126794211566395
20,movies,6.540601174972809e-05,0.03471517487016223
20,painters,2.8065648232735086e-06,0.018753542032624946
21,dances,2.7773436495939894e-06,0.02840481451510083
21,indigenous_peoples,5.4199912549486155e-06,0.08679795848880087
21,landmarks,8.18270510876504e-05,0.03965639378875489
21,movies,5.3568652299166626e-05,0.04739192516552568
21,painters,2.4573342943970796e-06,0.06405460027911296
22,dances,5.379463770747451e-06,0.035669172081448416
22,indigenous_peoples,1.0784531134296584e-05,0.09062789984304324
22,landmarks,8.642064952937025e-05,0.059096698959668424
22,movies,7.576257556097948e-05,0.0680581263948193
22,painters,2.8666227801669005e-06,0.07678161365246129
23,dances,7.433931451093718e-06,0.04157037457005805
23,indigenous_peoples,1.8362269524071333e-05,0.16914832410563166
23,landmarks,0.00010501219739845545,0.05021506200234092
23,movies,5.739681491270206e-05,0.17009117897868767
23,painters,3.4608340046458707e-06,0.09555751153467484
24,dances,1.1229503876958555e-05,0.059769054925393104
24,indigenous_peoples,3.801970516001903e-05,0.13207233548646083
